packet_row,pair_id,anchor,candidate,rating,near_duplicate,reason_code
1,m4-cachorro-parque-a-1,"Na semana passada, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Pouco tempo depois, Por alguns minutos, a companhia não exigiu apresentação, conversa ou promessa.",,,
2,m4-praia-inverno-a-4,"Na semana passada, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Pouco tempo depois, A praia estava lotada, fazia calor e não consegui ouvir meus próprios passos.",,,
3,m4-fotografia-caixa-b-5,"No começo do ano, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.","Meses depois, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.",,,
4,m4-silencio-familia-a-3,"Na semana passada, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.","Pouco tempo depois, Comprei uma mesa grande para reduzir o barulho durante o almoço da família.",,,
5,m4-telefone-pai-b-2,"No começo do ano, Liguei para meu pai sem assunto específico e ficamos falando sobre coisas pequenas.","Meses depois, Telefonei para meu pai sem motivo definido e conversamos sobre detalhes comuns.",,,
6,m4-planta-varanda-b-4,"No começo do ano, Notei uma folha nova na planta da varanda depois de semanas pensando que ela não resistiria.","Meses depois, Não apareceu folha nova e eu nunca pensei que a planta estivesse em risco.",,,
7,m4-musica-cozinha-b-3,"No começo do ano, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Meses depois, Troquei a música do anúncio de detergente exibido na televisão da cozinha.",,,
8,m4-livro-esquecido-c-2,"Numa tarde de inverno, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.","Quando a estação mudou, Peguei na estante um livro antigo e achei uma nota de que não me recordava.",,,
9,m4-silencio-familia-c-5,"Numa tarde de inverno, Durante o almoço em família, uma pausa longa disse mais do que a conversa inteira.","Quando a estação mudou, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.",,,
10,m4-curso-desistencia-a-4,"Na semana passada, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.","Pouco tempo depois, Terminei o curso com entusiasmo e não senti alívio nem culpa ao fechar o material.",,,
11,m4-casa-chuva-a-2,"Na semana passada, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Pouco tempo depois, Cheguei em casa sob a chuva e pendurei o casaco molhado ao lado da porta.",,,
12,m4-amizade-distante-c-3,"Numa tarde de inverno, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Quando a estação mudou, O aplicativo demorou para enviar uma mensagem sobre uma promoção de amizade virtual.",,,
13,m4-receita-avo-c-2,"Numa tarde de inverno, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Quando a estação mudou, Refiz a receita da avó e descobri que ninguém havia registrado as quantidades.",,,
14,m4-janela-vizinha-b-2,"No começo do ano, A vizinha acenou da janela depois de meses em que apenas cruzávamos o corredor.","Meses depois, Após meses só passando pelo corredor, recebi um aceno da vizinha na janela.",,,
15,m4-praia-inverno-a-3,"Na semana passada, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Pouco tempo depois, O relatório mediu a nitidez do áudio de passos usado numa campanha da praia de inverno.",,,
16,m4-cafe-manha-a-1,"Na semana passada, Fiz café cedo e fiquei alguns minutos acompanhando a claridade chegar à cozinha.","Pouco tempo depois, Antes das outras pessoas acordarem, a casa pareceu oferecer um intervalo só meu.",,,
17,m4-trabalho-recusa-b-2,"No começo do ano, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Meses depois, Neguei um trabalho adicional e terminei a conversa ainda com as mãos trêmulas.",,,
