packet_row,pair_id,anchor,candidate,rating,near_duplicate,reason_code
1,m4-cachorro-parque-a-2,"Na semana passada, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Pouco tempo depois, No parque, um cachorro que eu não conhecia permaneceu ao meu lado até minha saída.",,,
2,m4-chave-antiga-b-2,"No começo do ano, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.","Meses depois, Achei numa gaveta uma chave velha e não recordei a porta correspondente.",,,
3,m4-amizade-distante-a-2,"Na semana passada, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Pouco tempo depois, Uma pessoa amiga de muitos anos escreveu, e eu hesitei bastante antes de responder.",,,
4,m4-musica-cozinha-a-4,"Na semana passada, Uma música antiga tocou enquanto eu lavava a louça e interrompeu meus movimentos por um instante.","Pouco tempo depois, Lavei tudo em silêncio e nenhuma música alterou o ritmo dos meus movimentos.",,,
5,m4-fotografia-caixa-a-4,"Na semana passada, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.","Pouco tempo depois, Nenhuma fotografia apareceu e reconheci imediatamente todos os rostos que vi.",,,
6,m4-amizade-distante-b-3,"No começo do ano, Recebi uma mensagem de uma amizade antiga e demorei muito antes de responder.","Meses depois, O aplicativo demorou para enviar uma mensagem sobre uma promoção de amizade virtual.",,,
7,m4-cachorro-parque-b-3,"No começo do ano, Um cachorro desconhecido sentou ao meu lado no parque e ficou ali até eu levantar.","Meses depois, O parque instalou uma placa ao lado do lugar reservado para cachorro desconhecido.",,,
8,m4-cafe-manha-a-5,"Na semana passada, Fiz café cedo e fiquei alguns minutos acompanhando a claridade chegar à cozinha.","Pouco tempo depois, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.",,,
9,m4-casa-chuva-a-2,"Na semana passada, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Pouco tempo depois, Cheguei em casa sob a chuva e pendurei o casaco molhado ao lado da porta.",,,
10,m4-mudanca-cidade-b-3,"No começo do ano, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.","Meses depois, A prefeitura mudou o nome de uma rua no mapa oficial da cidade.",,,
11,m4-receita-avo-b-3,"No começo do ano, Tentei repetir uma receita da minha avó e percebi que as medidas nunca tinham sido escritas.","Meses depois, Escrevi as medidas do armário onde guardo o caderno de receitas da minha avó.",,,
12,m4-praia-inverno-c-1,"Numa tarde de inverno, Caminhei pela praia vazia no frio e ouvi meus passos com uma nitidez incomum.","Quando a estação mudou, Sem o movimento do verão, aquele lugar conhecido parecia ter guardado outra voz.",,,
13,m4-curso-desistencia-b-1,"No começo do ano, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.","Meses depois, Deixar uma escolha incompleta abriu um espaço que eu vinha tentando preencher por obrigação.",,,
14,m4-mudanca-cidade-a-1,"Na semana passada, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.","Pouco tempo depois, Aprendi o caminho sem abrir o mapa e isso fez a mudança parecer menos provisória.",,,
15,m4-mudanca-cidade-a-2,"Na semana passada, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.","Pouco tempo depois, Caminhei por uma rua que não conhecia e senti que começava a pertencer à cidade nova.",,,
16,m4-fotografia-caixa-c-1,"Numa tarde de inverno, Uma fotografia caiu de uma caixa e mostrou um rosto meu que eu quase não reconheci.","Quando a estação mudou, Demorei para aceitar que aquela expressão também tinha sido uma forma de estar no mundo.",,,
17,m4-casa-chuva-a-3,"Na semana passada, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.","Pouco tempo depois, Consultei a previsão de chuva antes de escolher a tinta para a porta da casa.",,,
18,m4-curso-desistencia-b-5,"No começo do ano, Fechei o material de um curso que eu já não queria terminar e senti alívio antes de culpa.","Meses depois, Peguei o ônibus de volta sem pressa e observei as luzes passando pela janela.",,,
19,m4-mudanca-cidade-b-1,"No começo do ano, Andei por uma rua desconhecida e percebi que a nova cidade começava a parecer minha.","Meses depois, Aprendi o caminho sem abrir o mapa e isso fez a mudança parecer menos provisória.",,,
20,m4-trabalho-recusa-b-1,"No começo do ano, Recusei uma tarefa extra no trabalho e saí da conversa com as mãos tremendo.","Meses depois, Dizer que eu não podia pareceu pequeno por fora e enorme enquanto eu voltava à mesa.",,,
21,m4-caixa-mudanca-c-5,"Numa tarde de inverno, Deixei uma caixa da mudança fechada porque ainda não sabia onde colocar aquelas coisas.","Quando a estação mudou, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.",,,
22,m4-caixa-mudanca-a-5,"Na semana passada, Deixei uma caixa da mudança fechada porque ainda não sabia onde colocar aquelas coisas.","Pouco tempo depois, Abri um livro esquecido na estante e encontrei uma anotação que eu já não lembrava.",,,
23,m4-consulta-espera-c-3,"Numa tarde de inverno, Esperei por uma consulta olhando o relógio e tentando não imaginar respostas antes da hora.","Quando a estação mudou, A consulta do relógio respondeu corretamente ao horário de funcionamento da sala.",,,
24,m4-chave-antiga-c-5,"Numa tarde de inverno, Encontrei uma chave antiga numa gaveta e não consegui lembrar qual porta ela abria.","Quando a estação mudou, Voltei para casa debaixo de chuva e deixei o casaco secando perto da porta.",,,
